Artist,Date,Venue,Link
REO Speedwagon and Rick Springfield,2024-10-23,Matthew Knight Arena,https://www.livenation.com/event/vvG1HZbadKDKNb/reo-speedwagon-and-rick-springfield
TOBYMAC MercyMe Zach Williams,2024-11-24,Matthew Knight Arena,https://www.livenation.com/event/vvG1HZb6p3heI8/tobymac-mercyme-zach-williams
Jeff Dunham Artificial Intelligence,2025-04-23,Matthew Knight Arena,https://www.livenation.com/event/vvG1HZbK11woI8/jeff-dunham-artificial-intelligence
Destroyer with special guest Katie Von Schleicher,Mon Oct 14,Hult Center,https://hultcenter.org/events/destroyer/
10x10 Series: My Brightest Diamond,Thu Oct 17,Hult Center,https://hultcenter.org/events/10-x-10-my-brightest-diamond/
Eugene Symphony: Alexander conducts Dvořák,Thu Oct 24,Hult Center,https://hultcenter.org/events/es-alexander-conducts-dvorak/
"Eugene Ballet: Mowgli, The Jungle Book Ballet",Nov 1 — 3 2024,Hult Center,https://hultcenter.org/events/ebc-mowgli-the-jungle-book-24/
10x10 Series: TAE & The Neighborly,Sat Nov 9,Hult Center,https://hultcenter.org/events/10-x-10-tae-the-neighborly-24/
An Evening with Shawn Colvin & KT Tunstall Together Onstage!,Tue Nov 12,Hult Center,https://hultcenter.org/events/shawn-colvin-kt-tunstall/
Eugene Vocal Arts: Renaissance Revels,Nov 16 — 17 2024,Hult Center,https://hultcenter.org/events/eva-renaissance-revels/
Eugene Symphony: Farkhad conducts Tchaikovsky,Thu Nov 21,Hult Center,https://hultcenter.org/events/es-farkhad-conducts-tchaikovsky/
10x10 Series: Mikey Moo,Wed Dec 11,Hult Center,https://hultcenter.org/events/10-x-10-mikey-moo/
Eugene Symphony: Rory conducts Rachmaninov,Thu Dec 12,Hult Center,https://hultcenter.org/events/es-rory-conducts-rachmaninov/
Eugene Concert Choir: Handel's Messiah,Sun Dec 15,Hult Center,https://hultcenter.org/events/ecc-handels-messiah/
"Eugene Ballet: The Nutcracker, with Orchestra Next",Dec 19 — 24 2024,Hult Center,https://hultcenter.org/events/ebc-the-nutcracker-24/
“Weird Al” Yankovic: Bigger & Weirder 2025 Tour,"August 20, 2025",Cuthbert Amphitheater,https://thecuthbert.com/events/august-20-2025-weird-al-yankovic-bigger-weirder-2025-tour/
Monster Energy Up & Up Festival featuring Matroda,"October 10, 2024",McDonald Theatre,https://mcdonaldtheatre.com/events/october-10-2024-monster-energy-up-up-festival-featuring-matroda/
Less Than Jake,"October 12, 2024",McDonald Theatre,https://mcdonaldtheatre.com/events/october-12-2024-less-than-jake/
Steve-O: The Super Dummy Tour,"October 16, 2024",McDonald Theatre,https://mcdonaldtheatre.com/events/october-16-2024-steve-o/
Justin Willman,"October 18, 2024",McDonald Theatre,https://mcdonaldtheatre.com/events/october-18-2024-justin-willman-mcdonald-theatre-concert/
Croce Plays Croce 50th Anniversary Tour,"October 19, 2024",McDonald Theatre,https://mcdonaldtheatre.com/events/october-19-2024-croce-plays-croce-mcdonald-theatre-concert/
Warren Miller’s “75”,"October 23, 2024",McDonald Theatre,https://mcdonaldtheatre.com/events/october-23-2024-warren-millers-75/
BLP Kosher & BabyTron,"November 6, 2024",McDonald Theatre,https://mcdonaldtheatre.com/events/november-6-2024-blp-kosher-babytron/
DJ Pauly D,"November 8, 2024",McDonald Theatre,https://mcdonaldtheatre.com/events/november-8-2024-dj-pauly-d/
